regiao,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,media_movel_14
Brasil,2020-02-25,0.0,0,0,0,
Brasil,2020-02-26,1.0,1,0,0,
Brasil,2020-02-27,1.0,0,0,0,
Brasil,2020-02-28,1.0,0,0,0,
Brasil,2020-02-29,2.0,1,0,0,
Brasil,2020-03-01,2.0,0,0,0,
Brasil,2020-03-02,2.0,0,0,0,
Brasil,2020-03-03,2.0,0,0,0,
Brasil,2020-03-04,3.0,1,0,0,
Brasil,2020-03-05,7.0,4,0,0,
Brasil,2020-03-06,13.0,6,0,0,
Brasil,2020-03-07,19.0,6,0,0,
Brasil,2020-03-08,25.0,6,0,0,
Brasil,2020-03-09,25.0,0,0,0,
Brasil,2020-03-10,34.0,9,0,0,0.0
Brasil,2020-03-11,52.0,18,0,0,0.0
Brasil,2020-03-12,77.0,25,0,0,0.0
Brasil,2020-03-13,98.0,21,0,0,0.0
Brasil,2020-03-14,121.0,23,0,0,0.0
Brasil,2020-03-15,200.0,79,0,0,0.0
Brasil,2020-03-16,234.0,34,0,0,0.0
Brasil,2020-03-17,291.0,57,1,1,0.0
Brasil,2020-03-18,428.0,137,4,3,0.07142857142857142
Brasil,2020-03-19,621.0,193,6,2,0.2857142857142857
Brasil,2020-03-20,904.0,283,11,5,0.42857142857142855
Brasil,2020-03-21,1128.0,224,18,7,0.7857142857142857
Brasil,2020-03-22,1546.0,418,25,7,1.2857142857142858
Brasil,2020-03-23,1891.0,345,34,9,1.7857142857142858
Brasil,2020-03-24,2201.0,310,46,12,2.4285714285714284
Brasil,2020-03-25,2433.0,232,57,11,3.2857142857142856
Brasil,2020-03-26,2915.0,482,77,20,4.071428571428571
Brasil,2020-03-27,3417.0,502,92,15,5.5
Brasil,2020-03-28,3903.0,486,114,22,6.571428571428571
Brasil,2020-03-29,4256.0,353,136,22,8.142857142857142
Brasil,2020-03-30,4579.0,323,159,23,9.714285714285714
Brasil,2020-03-31,5717.0,1138,201,42,11.357142857142858
Brasil,2020-04-01,6834.0,1117,241,40,14.285714285714286
Brasil,2020-04-02,7910.0,1076,299,58,16.928571428571427
Brasil,2020-04-03,9056.0,1146,359,60,20.928571428571427
Brasil,2020-04-04,10278.0,1222,432,73,24.857142857142858
Brasil,2020-04-05,11130.0,852,486,54,29.571428571428573
Brasil,2020-04-06,12056.0,926,553,67,32.92857142857143
Brasil,2020-04-07,13717.0,1661,667,114,37.07142857142857
Brasil,2020-04-08,15927.0,2210,800,133,44.357142857142854
Brasil,2020-04-09,17857.0,1930,941,141,53.07142857142857
Brasil,2020-04-10,19638.0,1781,1056,115,61.714285714285715
Brasil,2020-04-11,20727.0,1089,1124,68,68.85714285714286
Brasil,2020-04-12,22169.0,1442,1223,99,72.14285714285714
Brasil,2020-04-13,23430.0,1261,1328,105,77.64285714285714
Brasil,2020-04-14,25262.0,1832,1532,204,83.5
Brasil,2020-04-15,28320.0,3058,1736,204,95.07142857142857
Brasil,2020-04-16,30425.0,2105,1924,188,106.78571428571429
Brasil,2020-04-17,33682.0,3257,2141,217,116.07142857142857
Brasil,2020-04-18,36599.0,2917,2347,206,127.28571428571429
Brasil,2020-04-19,38654.0,2055,2462,115,136.78571428571428
Brasil,2020-04-20,40581.0,1927,2575,113,141.14285714285714
Brasil,2020-04-21,43079.0,2498,2741,166,144.42857142857142
Brasil,2020-04-22,45757.0,2678,2906,165,148.14285714285714
Brasil,2020-04-23,49492.0,3735,3313,407,150.42857142857142
Brasil,2020-04-24,52995.0,3503,3670,357,169.42857142857142
Brasil,2020-04-25,58509.0,5514,4016,346,186.71428571428572
Brasil,2020-04-26,61888.0,3379,4205,189,206.57142857142858
Brasil,2020-04-27,66501.0,4613,4543,338,213.0
Brasil,2020-04-28,71886.0,5385,5017,474,229.64285714285714
Brasil,2020-04-29,78162.0,6276,5466,449,248.92857142857142
Brasil,2020-04-30,85380.0,7218,5901,435,266.42857142857144
Brasil,2020-05-01,91299.0,5919,6329,428,284.07142857142856
Brasil,2020-05-02,96396.0,5097,6724,395,299.14285714285717
Brasil,2020-05-03,101147.0,4751,7025,301,312.64285714285717
Brasil,2020-05-04,107780.0,6633,7321,296,325.92857142857144
Brasil,2020-05-05,114715.0,6935,7921,600,339.0
Brasil,2020-05-06,125218.0,10503,8535,614,370.0
Brasil,2020-05-07,135106.0,9888,9146,611,402.07142857142856
Brasil,2020-05-08,145328.0,10222,9895,749,416.64285714285717
Brasil,2020-05-09,155939.0,10611,10627,732,444.64285714285717
Brasil,2020-05-10,162699.0,6760,11123,496,472.2142857142857
Brasil,2020-05-11,168331.0,5632,11519,396,494.14285714285717
Brasil,2020-05-12,177589.0,9258,12400,881,498.2857142857143
Brasil,2020-05-13,188974.0,11385,13149,749,527.3571428571429
Brasil,2020-05-14,202918.0,13944,13993,844,548.7857142857143
Brasil,2020-05-15,218223.0,15305,14817,824,578.0
Brasil,2020-05-16,233142.0,14919,15633,816,606.2857142857143
Brasil,2020-05-17,241080.0,7938,16118,485,636.3571428571429
Brasil,2020-05-18,254220.0,13140,16792,674,649.5
Brasil,2020-05-19,271628.0,17408,17971,1179,676.5
Brasil,2020-05-20,291579.0,19951,18859,888,717.8571428571429
Brasil,2020-05-21,310087.0,18508,20047,1188,737.4285714285714
Brasil,2020-05-22,330890.0,20803,21046,999,778.6428571428571
Brasil,2020-05-23,347398.0,16508,22013,967,796.5
Brasil,2020-05-24,363211.0,15813,22666,653,813.2857142857143
Brasil,2020-05-25,374898.0,11687,23473,807,824.5
Brasil,2020-05-26,391222.0,16324,24512,1039,853.8571428571429
Brasil,2020-05-27,411821.0,20599,25598,1086,865.1428571428571
Brasil,2020-05-28,438238.0,26417,26754,1156,889.2142857142857
Brasil,2020-05-29,465166.0,26928,27878,1124,911.5
Brasil,2020-05-30,498440.0,33274,28834,956,932.9285714285714
Brasil,2020-05-31,514200.0,15760,29314,480,942.9285714285714
Brasil,2020-06-01,526447.0,12247,29937,623,942.5714285714286
Brasil,2020-06-02,555383.0,28936,31199,1262,938.9285714285714
Brasil,2020-06-03,584016.0,28633,32548,1349,944.8571428571429
Brasil,2020-06-04,614941.0,30925,34021,1473,977.7857142857143
Brasil,2020-06-05,645771.0,30830,35026,1005,998.1428571428571
Brasil,2020-06-06,672846.0,27075,35930,904,998.5714285714286
Brasil,2020-06-07,691758.0,18912,36455,525,994.0714285714286
Brasil,2020-06-08,707412.0,15654,37134,679,984.9285714285714
Brasil,2020-06-09,739503.0,32091,38406,1272,975.7857142857143
Brasil,2020-06-10,772416.0,32913,39680,1274,992.4285714285714
Brasil,2020-06-11,802828.0,30412,40919,1239,1005.8571428571429
Brasil,2020-06-12,828810.0,25982,41828,909,1011.7857142857143
Brasil,2020-06-13,850514.0,21704,42720,892,996.4285714285714
Brasil,2020-06-14,867624.0,17110,43332,612,991.8571428571429
Brasil,2020-06-15,888271.0,20647,43959,627,1001.2857142857143
Brasil,2020-06-16,923189.0,34918,45241,1282,1001.5714285714286
Brasil,2020-06-17,955377.0,32188,46510,1269,1003.0
Brasil,2020-06-18,978142.0,22765,47748,1238,997.2857142857143
Brasil,2020-06-19,1032913.0,54771,48954,1206,980.5
Brasil,2020-06-20,1067579.0,34666,49976,1022,994.8571428571429
Brasil,2020-06-21,1085038.0,17459,50617,641,1003.2857142857143
Brasil,2020-06-22,1106470.0,21432,51271,654,1011.5714285714286
Brasil,2020-06-23,1145906.0,39436,52645,1374,1009.7857142857143
Brasil,2020-06-24,1188631.0,42725,53830,1185,1017.0714285714286
Brasil,2020-06-25,1228114.0,39483,54971,1141,1010.7142857142857
Brasil,2020-06-26,1274974.0,46860,55961,990,1003.7142857142857
Brasil,2020-06-27,1313667.0,38693,57070,1109,1009.5
Brasil,2020-06-28,1344143.0,30476,57622,552,1025.0
Brasil,2020-06-29,1368195.0,24052,58314,692,1020.7142857142857
Brasil,2020-06-30,1402041.0,33846,59594,1280,1025.357142857143
Brasil,2020-07-01,1448753.0,46712,60632,1038,1025.2142857142858
Brasil,2020-07-02,1496858.0,48105,61884,1252,1008.7142857142857
Brasil,2020-07-03,1539081.0,42223,63174,1290,1009.7142857142857
Brasil,2020-07-04,1577004.0,37923,64265,1091,1015.7142857142857
Brasil,2020-07-05,1603055.0,26051,64867,602,1020.6428571428571
Brasil,2020-07-06,1623284.0,20229,65487,620,1017.8571428571429
Brasil,2020-07-07,1668589.0,45305,66741,1254,1015.4285714285714
Brasil,2020-07-08,1713160.0,44571,67964,1223,1006.8571428571429
Brasil,2020-07-09,1755779.0,42619,69184,1220,1009.5714285714286
Brasil,2020-07-10,1800827.0,45048,70398,1214,1015.2142857142857
Brasil,2020-07-11,1839850.0,39023,71469,1071,1031.2142857142858
Brasil,2020-07-12,1864681.0,24831,72100,631,1028.5
Brasil,2020-07-13,1884967.0,20286,72833,733,1034.142857142857
Brasil,2020-07-14,1926824.0,41857,74133,1300,1037.0714285714287
Brasil,2020-07-15,1966748.0,39924,75366,1233,1038.5
Brasil,2020-07-16,2012151.0,45403,76688,1322,1052.4285714285713
Brasil,2020-07-17,2046328.0,34177,77851,1163,1057.4285714285713
Brasil,2020-07-18,2074860.0,28532,78772,921,1048.357142857143
Brasil,2020-07-19,2098389.0,23529,79488,716,1036.2142857142858
Brasil,2020-07-20,2118646.0,20257,80120,632,1044.357142857143
Brasil,2020-07-21,2159654.0,41008,81487,1367,1045.2142857142858
Brasil,2020-07-22,2227514.0,67860,82771,1284,1053.2857142857142
Brasil,2020-07-23,2287475.0,59961,84082,1311,1057.642857142857
Brasil,2020-07-24,2343366.0,55891,85238,1156,1064.142857142857
Brasil,2020-07-25,2394513.0,51147,86449,1211,1060.0
Brasil,2020-07-26,2419091.0,24578,87004,555,1070.0
Brasil,2020-07-27,2442375.0,23284,87618,614,1064.5714285714287
Brasil,2020-07-28,2483191.0,40816,88539,921,1056.0714285714287
Brasil,2020-07-29,2552265.0,69074,90134,1595,1029.0
Brasil,2020-07-30,2610102.0,57837,91263,1129,1054.857142857143
Brasil,2020-07-31,2662485.0,52383,92475,1212,1041.0714285714287
Brasil,2020-08-01,2707877.0,45392,93563,1088,1044.5714285714287
Brasil,2020-08-02,2733677.0,25800,94104,541,1056.5
Brasil,2020-08-03,2750318.0,16641,94665,561,1044.0
Brasil,2020-08-04,2801921.0,51603,95819,1154,1038.9285714285713
Brasil,2020-08-05,2857597.0,55676,97240,1421,1023.7142857142857
Brasil,2020-08-06,2912212.0,54615,98493,1253,1033.5
Brasil,2020-08-07,2962442.0,50230,99572,1079,1029.357142857143
Brasil,2020-08-08,3012412.0,49970,100477,905,1023.8571428571429
Brasil,2020-08-09,3035422.0,23010,101049,572,1002.0
Brasil,2020-08-10,3057470.0,22048,101752,703,1003.2142857142857
Brasil,2020-08-11,3109630.0,52160,103026,1274,1009.5714285714286
Brasil,2020-08-12,3164785.0,55155,104201,1175,1034.7857142857142
Brasil,2020-08-13,3224876.0,60091,105463,1262,1004.7857142857143
Brasil,2020-08-14,3275520.0,50644,106523,1060,1014.2857142857143
Brasil,2020-08-15,3317096.0,41576,107232,709,1003.4285714285714
Brasil,2020-08-16,3340197.0,23101,107852,620,976.3571428571429
Brasil,2020-08-17,3359570.0,19373,108536,684,982.0
Brasil,2020-08-18,3407354.0,47784,109888,1352,990.7857142857143
Brasil,2020-08-19,3456652.0,49298,111100,1212,1004.9285714285714
Brasil,2020-08-20,3501975.0,45323,112304,1204,990.0
Brasil,2020-08-21,3532330.0,30355,113358,1054,986.5
Brasil,2020-08-22,3582362.0,50032,114250,892,984.7142857142857
Brasil,2020-08-23,3605783.0,23421,114744,494,983.7857142857143
Brasil,2020-08-24,3622861.0,17078,115309,565,978.2142857142857
Brasil,2020-08-25,3669995.0,47134,116580,1271,968.3571428571429
Brasil,2020-08-26,3717156.0,47161,117665,1085,968.1428571428571
Brasil,2020-08-27,3761391.0,44235,118649,984,961.7142857142857
Brasil,2020-08-28,3804803.0,43412,119504,855,941.8571428571429
Brasil,2020-08-29,3846153.0,41350,120462,958,927.2142857142857
Brasil,2020-08-30,3862311.0,16158,120828,366,945.0
Brasil,2020-08-31,3908272.0,45961,121381,553,926.8571428571429
Brasil,2020-09-01,3950931.0,42659,122596,1215,917.5
Brasil,2020-09-02,3997865.0,46934,123780,1184,907.7142857142857
Brasil,2020-09-03,4041638.0,43773,124614,834,905.7142857142857
Brasil,2020-09-04,4092832.0,51194,125521,907,879.2857142857143
Brasil,2020-09-05,4123000.0,30168,126203,682,868.7857142857143
Brasil,2020-09-06,4137521.0,14521,126650,447,853.7857142857143
Brasil,2020-09-07,4147794.0,10273,126960,310,850.4285714285714
Brasil,2020-09-08,4162073.0,14279,127464,504,832.2142857142857
Brasil,2020-09-09,4197889.0,35816,128539,1075,777.4285714285714
Brasil,2020-09-10,4238446.0,40557,129522,983,776.7142857142857
Brasil,2020-09-11,4282164.0,43718,130396,874,776.6428571428571
Brasil,2020-09-12,4315687.0,33523,131210,814,778.0
Brasil,2020-09-13,4330455.0,14768,131625,415,767.7142857142857
Brasil,2020-09-14,4345610.0,15155,132006,381,771.2142857142857
Brasil,2020-09-15,4382263.0,36653,133119,1113,758.9285714285714
Brasil,2020-09-16,4419083.0,36820,134106,987,751.6428571428571
Brasil,2020-09-17,4455386.0,36303,134935,829,737.5714285714286
Brasil,2020-09-18,4495183.0,39797,135793,858,737.2142857142857
Brasil,2020-09-19,4528240.0,33057,136532,739,733.7142857142857
Brasil,2020-09-20,4544629.0,16389,136895,363,737.7857142857143
Brasil,2020-09-21,4558068.0,13439,137272,377,731.7857142857143
Brasil,2020-09-22,4591604.0,33536,138108,836,736.5714285714286
Brasil,2020-09-23,4624885.0,33281,138977,869,760.2857142857143
Brasil,2020-09-24,4657702.0,32817,139808,831,745.5714285714286
Brasil,2020-09-25,4689613.0,31911,140537,729,734.7142857142857
Brasil,2020-09-26,4717991.0,28378,141406,869,724.3571428571429
Brasil,2020-09-27,4732309.0,14318,141741,335,728.2857142857143
Brasil,2020-09-28,4745464.0,13155,142058,317,722.5714285714286
Brasil,2020-09-29,4777522.0,32058,142921,863,718.0
Brasil,2020-09-30,4810935.0,33413,143952,1031,700.1428571428571
Brasil,2020-10-01,4847092.0,36157,144680,728,703.2857142857143
Brasil,2020-10-02,4880523.0,33431,145388,708,696.0714285714286
Brasil,2020-10-03,4906833.0,26310,145987,599,685.3571428571429
Brasil,2020-10-04,4915289.0,8456,146352,365,675.3571428571429
Brasil,2020-10-05,4927235.0,11946,146675,323,675.5
Brasil,2020-10-06,4969141.0,41906,147494,819,671.6428571428571
Brasil,2020-10-07,5000694.0,31553,148228,734,670.4285714285714
Brasil,2020-10-08,5028444.0,27750,148957,729,660.7857142857143
Brasil,2020-10-09,5055888.0,27444,149639,682,653.5
Brasil,2020-10-10,5082637.0,26749,150198,559,650.1428571428571
Brasil,2020-10-11,5094979.0,12342,150488,290,628.0
Brasil,2020-10-12,5103408.0,8429,150689,201,624.7857142857143
Brasil,2020-10-13,5113628.0,10220,150998,309,616.5
Brasil,2020-10-14,5140863.0,27235,151747,749,576.9285714285714
Brasil,2020-10-15,5169386.0,28523,152460,713,556.7857142857143
Brasil,2020-10-16,5200300.0,30914,153214,754,555.7142857142857
Brasil,2020-10-17,5224362.0,24062,153675,461,559.0
Brasil,2020-10-18,5235344.0,10982,153905,230,549.1428571428571
Brasil,2020-10-19,5250727.0,15383,154176,271,539.5
Brasil,2020-10-20,5273954.0,23227,154837,661,535.7857142857143
Brasil,2020-10-21,5298772.0,24818,155403,566,524.5
Brasil,2020-10-22,5323630.0,24858,155900,497,512.5
Brasil,2020-10-23,5353656.0,30026,156471,571,495.92857142857144
Brasil,2020-10-24,5380635.0,26979,156903,432,488.0
Brasil,2020-10-25,5394128.0,13493,157134,231,478.92857142857144
Brasil,2020-10-26,5409854.0,15726,157397,263,474.7142857142857
Brasil,2020-10-27,5439641.0,29787,157946,549,479.14285714285717
Brasil,2020-10-28,5468270.0,28629,158456,510,496.2857142857143
Brasil,2020-10-29,5494376.0,26106,158969,513,479.2142857142857
Brasil,2020-10-30,5516658.0,22282,159477,508,464.92857142857144
